English,Czech
the,člen určitý (ten)
of,z
and,a
a,člen neurčitý (nějaký)
to,na
in,v
is,je
you,ty / vy
that,že
it,to
he,on
was,byl
for,pro
on,"předložka ""na"" (stole)"
are,jsi / jsou
as,tak jako
with,s
his,jeho
they,oni
I,já
at,"předložka ""na"", ""v"""
be,být
this,tento
have,mít
from,z
or,nebo
one,jeden
had,měl
by,podle
word,slovo
but,ale
not,ne
what,co
all,Všechno
were,byly
when,když
your,tvoje / Vaše
can,moct
say,říci
there,tam
use,použití
an,člen neurčitý (nějaký)
each,každý
which,který
she,ona
do,dělat
how,jak
their,jejich
if,"podmínka, -li"
will,vůle
up,nahoru
other,jiný
about,o
out,ven
many,mnoho
then,pak
them,jim
these,tyto
so,tak
some,nějaký
her,její
would,bych
make,udělat
like,jako
like,líbit se / mít rád
him,mu
into,do
time,čas
has,má
look,Koukni se
two,dva
more,více
write,napsat
go,jít
see,vidět
number,číslo
not,ne
way,cesta
could,mohl
people,lidé
my,můj
than,než
first,První
water,voda
been,byl
call,volání
who,kdo
oil,olej
its,své
now,Nyní
find,nalézt
long,dlouho
down,dolů
day,den
did,dělal
get,dostat
come,Přijít
made,vyrobeno
part,část
three,tři
four,čtyři
five,Pět
six,šest
seven,sedm
eight,osm
nine,devět
ten,deset
tree,strom
love,milovat
home,Domov
work,práce
mother,matka
father,otec
daughter,dcera
grandmother,babička
grandfather,dědeček
granddaughter,vnučka